word,tran,type,frq,exchange
describe,vt.形容；描写，描绘,2,1876,d:described/p:described/3:describes/i:describing
description,n.描写，形容；种类,2,1595,s:descriptions
descriptive,"a. 描述的, 叙述的",9,6150,
descriptor,n. [计] 描述符; 描述词; 解说符,9,18703,s:descriptors
descry,v. 远远看到，望见,8,24533,p:descried/d:descried/s:descries/i:descrying/3:descries
desecrate,v. 玷辱，亵渎,8,23299,d:desecrated/p:desecrated/i:desecrating/3:desecrates
desecration,"n. 亵渎神圣, 污辱神物",0,18361,s:desecrations
desegregate,v. 废止种族隔离,0,24245,i:desegregating/p:desegregated/3:desegregates/d:desegregated
desegregation,n. 废止种族隔离,9,22824,
desensitize,"vt. 使麻木不仁, 使不敏感\n[医] 脱敏[感], 失敏[感]",0,23962,d:desensitized/i:desensitizing/p:desensitized/3:desensitizes
desert,n.沙漠 vt.离弃；擅离,2,3065,d:deserted/s:deserts/p:deserted/i:deserting/3:deserts
deserted,"a. 被遗弃的, 废弃的\n[法] 被遗弃的, 无人的, 放弃的",9,4393,0:desert/1:dp/d:deserted/p:deserted
deserter,n. 背弃者，逃亡者,8,20501,s:deserters
desertification,"n. （土壤）荒漠化, 沙漠化",0,16597,
desertion,"n. 丢掉, 遗弃, 逃亡\n[法] 长期分居, 开小差, 遗弃",0,13231,s:desertions
deserve,vt.应受，值得,2,4337,3:deserves/p:deserved/d:deserved/i:deserving
deserved,"a. 应得的, 理所当然的, 该受的",0,4872,0:deserve/1:pd/p:deserved/d:deserved
deservedly,"adv. 应得报酬地, 理所当然地",0,15510,
deserving,"a. 该受的, 有功的, 值得...的 n. 功过, 赏罚",9,10044,0:deserve/1:i/i:deserving
desiccate,v. （使）完全干涸，脱水,8,26150,d:desiccated/i:desiccating/p:desiccated/3:desiccates
desiccated,"a. 干的, 粉状的\nv. 使干燥(desiccate的过去式); 变干",0,17679,0:desiccate/d:desiccated/3:desiccates/s:desiccates/i:desiccating/p:desiccated
desiccation,n. 干燥\n[法] 干燥,0,19351,
desideratum,n. 必需品,8,23672,
design,vt.设计 n.设计；图样,3,665,d:designed/s:designs/p:designed/i:designing/3:designs
designate,v. 1·标出，指明，称呼 2. 指派，任命  adj. 已受委派(当选)而尚未就职的，候任的,5,10427,d:designated/p:designated/i:designating/3:designates
designated,a. 特指的；指定的,9,4048,0:designate/1:dp/d:designated/p:designated
designation,"n. 指示, 指定, 命名\n[电] 指定",9,8528,s:designations
designed,"a. 故意的, 有计划的, 特意的",0,843,0:design/1:dp/d:designed/p:designed
designer,"n. 设计者, 谋划者, 制图者\n[计] 设计员",9,3265,s:designers
designing,"a. 阴谋的, 诡诈的\nn. 设计(工作), 计谋",0,5716,0:design/1:i/i:designing
desirability,"n. 值得想望, 可取\n[经] 合意性, 可用性",9,10198,s:desirabilities
desirable,a.值得相望的；可取的,4,3113,
desire,vt.相望；要求 n.愿望,3,1553,s:desires/d:desired/p:desired/3:desires/i:desiring
desired,a. 渴望的；想得到的,9,3615,0:desire/1:dp/p:desired/d:desired
desirous,"a. 想要的, 想望的, 渴望的",0,19556,
desist,v. 停止,8,15511,p:desisted/3:desists/i:desisting/d:desisted
desk,n.书桌，办公桌,1,1895,s:desks
desktop,n. 桌面\n[计] 桌面,9,26151,s:desktops
desolate,a. 荒凉的,6,10220,i:desolating/p:desolated/3:desolates/d:desolated
desolation,"n. 荒芜, 荒废, 荒凉",9,12264,s:desolations
despair,n.绝望 vi.绝望,4,3971,p:despaired/d:despaired/s:despairs/i:despairing/3:despairs
despairing,a. 绝望的,9,11287,0:despair/1:i/i:despairing
despatch,v. 派遣\nn. 派遣,6,8978,d:despatched/s:despatches/p:despatched/i:despatching/3:despatches
desperado,n. 亡命之徒,8,22690,s:desperadoes
desperate,a.拼死的；绝望的,3,2792,
desperately,adv. 拼命地; 绝望地; 极度地,9,3364,
desperation,n. 绝望,9,6990,s:desperations
despicable,"a. 可鄙的,卑劣的",7,14290,
despise,vt.鄙视，蔑视,4,11312,p:despised/d:despised/3:despises/i:despising
despised,"v. 鄙视, 看不起某人（某事）( despise的过去式和过去分词 )",0,8143,0:despise/1:pd/d:despised/p:despised
despite,prep.不管，不顾,4,601,
despoil,"vt. 夺取,掠夺",7,23807,d:despoiled/i:despoiling/p:despoiled/3:despoils
despondency,"n. 失去勇气, 失望",0,16456,
despondent,a. 失望的，意气消沉的,8,16258,
despot,n. 暴君,8,18785,s:despots/3:despots
despotic,a. 专横的，暴虐的,8,20177,
despotism,n. 专制，暴政,8,15931,
dessert,n. 餐后甜点,3,9287,s:desserts
destabilization,[化] 去稳定作用,0,19352,s:destabilizations
destabilize,vt. 使动摇,9,19156,i:destabilizing/3:destabilizes/d:destabilized/p:destabilized
destabilizing,v. 破坏政府的稳定( destabilize的现在分词 ),0,19557,0:destabilize/1:i/i:destabilizing
destination,"n.目的地,终点；目标",3,4667,s:destinations
destine,"vt. 注定,预定",7,26152,d:destined/p:destined/i:destining/3:destines
destined,adj. 命中注定的，预定的,5,5668,0:destine/1:dp/d:destined
destiny,n. 命运，天命,5,5821,s:destinies
destitute,a. 贫乏的；穷困的,8,13898,s:destitutes
destitution,n. 匮乏，穷困,8,17757,
destroy,vt.破坏；消灭；打破,2,3240,d:destroyed/i:destroying/p:destroyed/3:destroys
destroyed,"a. 被毁, 毁坏；遭破坏的",9,2390,0:destroy/1:dp/p:destroyed/d:destroyed
destroyer,"n. 破坏者, 消灭者, 起破坏作用的东西, 驱逐舰",9,11958,s:destroyers
destructible,a. 可破坏的,8,26153,
destruction,n.破坏，毁灭，消灭,4,2846,s:destructions
destructive,adj. 破坏(性)的，毁灭(性)的，非建设性的,5,5348,
destructiveness, 破坏性,0,19863,
desuetude,n. 废止，不用,8,23418,
desultory,a. 不连贯的，散乱的,8,15265,
detach,v. 拆卸，使分离，派遣,5,13260,d:detached/p:detached/i:detaching/3:detaches
detachable,a. 可分离的,0,15452,
detached,"a. 超然的, 分离的, 冷淡的\n[法] 分遣的, 派遣的, 分离的",9,4573,0:detach/1:dp/d:detached/p:detached
detachment,"n. 分离, 分遣, 分遣队\n[医] 脱离, 分离, 支队",9,6981,s:detachments
detail,n.细节；枝节；零件,4,1369,s:details/i:detailing/d:detailed/p:detailed/3:details
detailed,"a. 详细的, 复杂的\n[法] 详细的, 详尽的",9,1330,0:detail/1:dp/d:detailed/p:detailed
detain,v. 拘留，扣押，耽搁,5,13232,d:detained/i:detaining/p:detained/3:detains
detainee,"n. 被拘留者, 被扣押者",9,21266,s:detainees
detect,vt.察觉，发觉；侦察,4,4192,d:detected/i:detecting/p:detected/3:detects
detectable,"a. 可察觉的, 易发现的, 可检测的",9,9812,
detection,n.察觉，发觉；侦察,4,5293,s:detections
detective,n. 1. 侦探 2. 发现者，探测者 adj. (关于)侦探的，探测(用)的,2,3685,s:detectives
detector,"n. 发现者, 检验器, 检波器",6,6806,s:detectors
detente,"n. (国际关系)缓和\n[法] 缓和, 和好",0,19760,
detention,"n. 阻止, 监禁, 拘留\n[医] 隔离, 拘留, 滞留, 停滞",9,5371,s:detentions
deter,"vt. 制止, 吓住, 威慑",6,6996,d:deterred/i:deterring/3:deters/p:deterred
detergent,n. 清洁剂\n[化] 洗涤剂,9,10313,s:detergents
deteriorate,v. 恶化，(使)变坏，退化,5,10407,p:deteriorated/d:deteriorated/3:deteriorates/i:deteriorating
deteriorating,"v. 恶化, 变坏( deteriorate的现在分词 )",9,9211,0:deteriorate/1:i/i:deteriorating
deterioration,"n. 恶化, 衰退, 退化\n[医] 变坏, 变质, 颓废, 衰退",9,5834,s:deteriorations
determinant,n. 决定因素；a. 决定性的,8,10097,s:determinants
determinate,"a. 确定的, 坚决的, 决定的\n[法] 决定性的, 限定性的, 有限的",0,14483,
determination,n.决心/定;确定,3,2359,s:determinations
determinative,"a. 决定的, 限定的\nn. 决定物, 限定词",0,20943,
determine,vt.决定；查明；决心,3,2004,d:determined/i:determining/3:determines/p:determined
determined,"a. 坚决的, 已下决心的",9,1130,0:determine/1:dp/d:determined/p:determined
determinedly,adv. 坚定地; 坚决地; 决然地; 断然地,0,12593,
determining,v. 决定（determine的ing形式）,9,3670,0:determine/1:i/i:determining
determinism,n. 决定论,9,12333,s:determinisms
deterministic,"a. 决定论的, 命运注定论的",0,15167,
deterrence,"n. 威慑, 威慑力量",9,10371,
deterrent,"a. 制止的, 威慑的, 遏制的\nn. 威慑力量(或因素), 制止物",9,6536,s:deterrents
detest,"vt. 厌恶,憎恨",7,15168,p:detested/d:detested/3:detests/i:detesting
detestable,a. 嫌恶的，可憎的，可厌恶的,8,20841,
detonate,v. （使）爆炸，引爆,8,19864,d:detonated/p:detonated/i:detonating/3:detonates
detonation,n. 爆炸（声）,8,18262,s:detonations
detonator,"n. 雷管, 炸药\n[化] 雷管",0,19458,s:detonators
detour,n. 弯路；绕行之路,8,11598,s:detours/d:detoured/i:detouring/p:detoured/3:detours
detox,n. 戒瘾病房；戒瘾诊所,0,23300,d:detoxed/i:detoxing/p:detoxed/s:detoxes/3:detoxes/f:detoxes
detoxification,[机] 解毒作用,0,16776,
detoxify,"vt. 使解毒\n[医] 解毒, 去毒",0,23067,i:detoxifying/d:detoxified/p:detoxified/3:detoxifies
detract,"vt. vi. 减去,贬低",7,11574,3:detracts/i:detracting/p:detracted/d:detracted
detraction,n. 贬低，诽谤,8,26154,
detractor,"n. 毁损者, 贬低者",9,24246,s:detractors
detriment,"n. 损害, 损害物\n[法] 损害, 伤害, 危害",9,8887,s:detriments
detrimental,a. 有害的,9,8646,
detritus,n. 碎屑；废墟,8,13844,
deuterium,"n. 氘, 重氢\n[化] 氘; 重氢",0,14538,
devaluation,"n. 降低价值, 贬值",9,7127,s:devaluations
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值",9,15005,d:devalued/i:devaluing/p:devalued/3:devalues
devastate,"vt. 毁坏\n[法] 使荒废, 毁灭, 掠夺",9,19666,d:devastated/p:devastated/i:devastating/3:devastates/s:devastates
devastated,v. 摧毁; 毁灭; 在感情上（精神上、财务上等）压垮 a. 毁坏的; 极为震惊的,9,6716,0:devastate/1:dp/d:devastated/p:devastated
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的",9,5510,i:devastating/0:devastating/1:i
devastatingly,"adv. 破坏性地, 讥讽地",0,17324,
devastation,n. 毁坏,9,10119,s:devastations
develop,vt.发展；形成；开发,2,1018,d:developed/i:developing/p:developed/3:develops
developed,a. 发达的（国家或地区）; 成熟的,9,687,0:develop/1:dp/d:developed/p:developed
developer,n. 开发者\n[计] 显影器,9,5673,s:developers
developing,a. 发展中的\n[计] 显影,9,1366,0:develop/1:i/i:developing
development,n.发展;开发；生长,3,256,s:developments
developmental,"a. 发展的, 进化的, 启发的\n[医] 发育的",9,6401,
developmentally, [医]adv.发育地,9,20390,
deviance,[法] 越轨行为,0,8605,s:deviances
deviant,a. 越出常规的,8,8922,s:deviants
deviate,v. 背离，偏离，越(轨),5,13560,p:deviated/i:deviating/3:deviates/d:deviated/s:deviates
deviation,n. 背离\n[化] 偏差; 误差; 偏斜,9,7065,s:deviations
device,n.器械，装置；设计,4,2503,s:devices
devil,n.魔鬼，恶魔,4,3504,s:devils/p:devilled/d:devilled/i:devilling/3:devils
devilish,"a. 魔鬼似的, 该咒骂的, 可恶的, 邪恶的, 凶暴的, 异常的, 过分的, 非常的\nadv. (非正式)非常, 过分地, 极",0,16912,
devilishly,"adv. 过分地, 厉害地",0,22560,
devious,"a. 偏僻的,迂回的",7,9438,
devise,vt.设计，发明,4,6785,d:devised/i:devising/p:devised/3:devises
devoid,"a. 全无的,缺乏的",7,8258,
devolution,"n. 相传, 转让, 委付\n[医] 退化, 异化",0,7683,
devolve,v. （指工作、职务）移交给某人,8,17470,d:devolved/i:devolving/p:devolved/3:devolves/s:devolves
devote,vt.将…奉献，致力于,3,6670,p:devoted/d:devoted/i:devoting/3:devotes
devoted,"a. 投入的, 深爱的",9,2774,0:devote/1:pd/d:devoted/p:devoted
devotee,n. 爱好者,8,18077,s:devotees
devotion,"n. 热爱, 投入",3,6692,s:devotions
devotional,a. 献身的，崇拜的,8,15863,
devour,"vt. 吞食, 挥霍, 吞没",9,15113,i:devouring/d:devoured/p:devoured/3:devours
devout,"a. 虔诚的,虔敬的,衷心的",7,11473,
devoutly,"adv. 虔诚地, 虔敬地, 衷心地",0,21052,
dew,n.露，露水,4,9563,s:dews/p:dewed/d:dewed
dewy,"a. 露湿的, 带露水的, 如露的",0,19865,
dexterity,n. 纯熟，灵巧,8,14859,
dexterous,"a. 灵巧的,用右手的",7,22825,
diabetes,"n. 糖尿病, 多尿症\n[医] 糖尿病; 多尿症",6,6308,
diabetic,a. 糖尿病的 n. 糖尿病患者,9,6194,s:diabetics
diabolic,a. 恶魔（一样）的；魔鬼性格的,8,26155,
diabolical,a. 恶毒的，狠毒的,8,14915,
diachronic,"a. 历经时间长河的, 历时的",0,21159,
diagnose,v. 诊断(疾病)，判断，调查分析(问题等的)原因(性质),5,12397,d:diagnosed/p:diagnosed/i:diagnosing/3:diagnoses/s:diagnoses
diagnosis,n. 诊断\n[计] 诊断,9,3517,s:diagnoses
diagnostic,"a. 诊断的, 有助于诊断的, 特征的 n. 诊断, 病的征候, 诊断法",9,5842,
diagnostician,"n. 诊断医生, 诊断专家\n[医] 诊断医师",0,23808,s:diagnosticians
diagnostics,"n. 诊断学, 症候, 症状",9,15864,
diagonal,"a. 倾斜的 n. 斜线,对角线",7,7721,s:diagonals
diagonally,adv. 对角地,9,12700,
diagram,n.图解，图表，简图,2,4287,s:diagrams/d:diagrammed/i:diagramming/p:diagrammed/3:diagrams
dial,n.钟面；拨号盘 vt.拨,2,7257,p:dialled/s:dials/d:dialled/3:dials/i:dialing
dialect,n.方言，土语，地方话,4,7376,s:dialects
dialectic,"a. 辩证的, 辩证法的 n. 辩证法, 逻辑论证",9,11599,s:dialectics
dialectical,"a. 辩证的, 辩证法的",9,12143,
dialog,n.对话，对白,4,17680,
dialogic,"a. 对话的, 问答体的",0,20178,
dialogical, 对话的,0,26156,
dialogue,n. 对话\nvi. 对话\nvt. 用对话表达,2,3553,s:dialogues
dialysis,"n. 透析, 渗析",9,14441,
diameter,n.直径,4,4256,s:diameters
diametrically,"adv. 完全地, 直径方面, 正好相反地, 截然地",0,16847,
diamond,n.金钢石，钻石；菱形,3,4460,s:diamonds
diaper,n. 尿布,9,21609,s:diapers/p:diapered
diaphanous,a. 精致的，透明的,8,22427,
diaphragm,n. 横隔膜; (摄影机的)光圈; （避孕用的）子宫帽,9,12990,s:diaphragms
diarist,"n. 记日记的人, 日记作者",0,17995,s:diarists
diarrhea,n. 腹泻,9,24708,
diary,n.日记，日记簿,2,3245,s:diaries
Diaspora,"n. 犹太人的离散, 离散的犹太人",9,18339,s:diasporas
diastolic,a. 心脏舒张的\n[医] 舒张的,0,19157,
diatribe,n. （口头或书面猛烈的）抨击,8,19761,s:diatribes
dice,n. 骰子 vt. 切成方块 vi. 掷骰子,9,8040,p:diced/i:dicing/d:diced/s:dices/3:dices
diced,"v. 将…切成小方块, 切成丁( dice的过去式和过去分词 )",9,16527,0:dice/1:pd/p:diced
dichotomous,"a. 二分的, 叉状分枝的; 二叉的, 二歧的",9,20502,
dichotomy,"n. 两分, 分裂, 二分法; 二叉, 二歧",9,10557,s:dichotomies
dick,"n. 家伙, 词典, 阴茎, 誓言(书)",9,26157,s:dicks
dickens,n. 魔鬼,0,26158,0:dickens
Dickensian,"n. 专门研究狄更斯(英国小说家)者, 崇拜狄更斯者\na. 狄更斯的",0,25138,
dicker,v. 讨价还价,8,23419,i:dickering/s:dickers/d:dickered/p:dickered/3:dickers
dictate,vt.&vi.口授；命令,4,7728,d:dictated/3:dictates/p:dictated/s:dictates/i:dictating
dictation,n.口授笔录，听写,2,14860,s:dictations
dictator,"n. 命令者, 独裁者",9,9766,s:dictators
dictatorial,"a. 独裁者的,独裁的,独断的",7,15114,
dictatorship,"n. 独裁者之职位, 独裁, 独裁政权",9,7996,s:dictatorships
diction,n. 措辞，用语,7,15998,
dictionary,n.词典，字典,2,3361,s:dictionaries
dictum,n. 格言，声明,8,12500,s:dicta
didactic,a. 教诲的；说教的,8,15115,
die,vi.死，死亡；灭亡,2,1520,p:died/d:died/i:dying/3:dies/s:dies
die-hard,"a. 顽固的, 死硬的",9,26159,s:die-hards
diehard,n. 顽固分子,8,26160,s:diehards
dielectric,"n. 电介质, 绝缘体\na. 非传导性的",0,18161,s:dielectrics
diesel,"n. 内燃机, 柴油机, 柴油",9,4103,s:diesels
diet,"n. 日常饮食, 议会\nvt. 照规定饮食\nvi. 忌食",3,1901,s:diets/i:dieting/d:dieted/p:dieted/3:diets
dietary,a. 饮食的\nn. 规定食物,9,6015,s:dietaries
dieter,n. 节食者,0,11022,s:dieters
dietetic,"a. 饮食的, 适于特殊饮食的\n[医] 饮食的",0,23301,s:dietetics
dietetics,n. 饮食学，营养学,8,23809,0:dietetic/1:s
dieting,n. 节食；节食减肥,0,10963,0:diet/1:i/i:dieting
dietitian,"n. 饮食学家, 营养学家",9,20944,s:dietitians
differ,vi.不同，相异,3,3421,3:differs/p:differed/i:differing/d:differed
difference,n.差别；差；分歧,2,774,s:differences
different,a.差异的；各种的,2,169,
differential,"a. 差别的, 特异的, 微分的 n. 差别, 两路线运费差额, 工资差额",9,5294,s:differentials
differentially,adv. 区别地,0,18533,
differentiate,v. 区分，(使)不同，构成…间的差别,5,7295,d:differentiated/p:differentiated/3:differentiates/i:differentiating/s:differentiates
differentiated,a. 分化型；已分化的；可区分的,0,6653,0:differentiate/1:dp/d:differentiated/p:differentiated
differentiating,[计] 微分的,0,12463,0:differentiate/1:i/i:differentiating
differentiation,"n. 区别, 分化, 变异\n[医] 鉴别, 区别, 分化[作用], 微分法",9,5113,s:differentiations
differently,"adv. 差异, 不同, 各别, 各种",9,3822,
differing,"v. 不同, 有异( differ的现在分词 ); 持异议",9,4805,0:differ/1:i/i:differing
difficult,a.困难的；难对付的,1,410,
difficulty,a.困难；难事；困境,2,1362,s:difficulties
diffident,a. 缺乏自信的,8,15453,
diffraction,n. 衍射\n[化] 衍射,9,15865,
diffuse,v. 1. 扩散，(使)四散，弥漫 2. 传播，散步 adj. 1. 弥漫的，四散的 2. (文章等)冗长的,5,8964,d:diffused/3:diffuses/i:diffusing/p:diffused
diffused,"a. 散布的, 扩散的；普及的",0,13155,0:diffuse/1:dp/d:diffused/p:diffused
diffuser,"n. 漫射体, 喷雾器, 扬声器纸盆, 传播者, 散布者\n[计] 散射体",0,18786,s:diffusers
diffusion,"n. 散播, 传播, 蔓延\n[医] 扩散, 弥散, 漫射(光)",9,8965,s:diffusions
dig,vt.掘，挖；采掘,2,4785,p:dug/i:digging/d:dug/3:digs/s:digs
digest,vt.消化；领会 n.文摘,3,7535,d:digested/i:digesting/p:digested/3:digests
digester,"n. 做摘要者, 蒸煮锅, 蒸煮器\n[化] 浸煮器; 蒸煮器; 蒸煮罐; 蒸煮锅; 消化器; 熟化槽; 老化器",0,26161,s:digesters
digestible,"a. 可消化的, 易消化的, 可摘要的\n[医] 可消化的",0,18633,
digestion,"n. 消化力, 领悟\n[化] 消化; 消化作用; 蒸煮; 蒸煮作用; 煮解; 浸提; 陈化",9,7421,s:digestions
digestive,"a. 消化的, 助消化的\nn. 助消化药",9,9829,s:digestives
digger,n. 挖掘者,9,12635,s:diggers
digging,n. 挖掘,9,5142,0:dig/1:i/i:digging/s:diggings
digit,"n. 数字, 位数, 指头\n[计] 数位; 位",9,10098,s:digits
digital,a.数字的，计数的,2,3209,
digitally,adv. 数位,9,19259,
digitize,"vt. 使成为数字, 使计数化, 使数字化\n[计] 数字化",9,24534,d:digitized/i:digitizing/p:digitized/3:digitizes
digitized,a. 数字化的,0,18704,0:digitize/1:dp/p:digitized
dignified,"a. 有尊严的, 高尚的",9,8026,1:pd/0:dignify
dignify,"vt. 增威严, 使高贵, 故作显贵",0,22561,i:dignifying/3:dignifies/p:dignified/d:dignified
dignitary,n. 显要人物,8,23540,s:dignitaries
dignity,n. 1. 尊严，高贵，体面 2. 庄严，端庄 3. 官阶，职位 || beneath one's dignity有失某人身份(体面) /stand on one's dignity坚持受到应有的礼遇，保持尊严,3,4308,s:dignities
digress,"vi. 走向岔道,离题,扯到枝节上",7,19158,i:digressing/d:digressed/p:digressed/3:digresses
digression,n. 离题，题外话,8,18362,s:digressions
dike,n. 堤防,8,22562,s:dikes/3:dikes/p:diked/i:diking/d:diked
dilapidate,v. （使）荒废，（使）毁坏,8,26162,i:dilapidating/p:dilapidated/3:dilapidates/d:dilapidated
dilapidated,a. 破旧的，倒塌的,8,13085,1:pd/0:dilapidate
dilapidation,n. 破旧，荒废,8,21160,s:dilapidations
dilate,"vi. 扩大,详述,膨胀 vt. 使膨胀",7,21495,p:dilated/d:dilated/i:dilating/3:dilates/s:dilates
dilation,"n. 膨胀, 扩张术, 扩张(症), 扩大, 铺张, 详述\n[医] 扩张, 扩张术",0,21610,s:dilations
dilatory,a. 慢吞吞的，磨蹭的,8,20391,
dildo,n. 人造阴茎,0,21611,s:dildos
dilemma,n. (进退两难的)窘境，困境，进退维谷,3,4770,s:dilemmas
dilettante,n. 业余爱好者,8,20945,s:dilettanti
diligence,n. 勤奋,9,9319,
diligent,a.勤勉的，勤奋的,4,13561,
diligently,adv. 勤奋地；勤勉地,9,15116,
dill,"n. 莳萝, 莳萝叶",9,15382,p:dilled
dillydally,v. 磨蹭，浪费时间,8,26163,i:dillydallying/p:dillydallied/3:dillydallies/d:dillydallied
dilute,v. 1. 稀释，冲淡 2. 削弱，减轻 adj. 经稀释的，淡的，减弱了的,5,10014,d:diluted/p:diluted/i:diluting/3:dilutes
diluted,a. 稀释的；无力的,0,8192,0:dilute/1:dp/d:diluted/p:diluted
dilution,"n. 冲淡, 淡度, 稀度, 稀释物, 冲淡物, 稀释\n[计] 稀释度的",9,10242,s:dilutions
dim,a.昏暗的；朦胧的,2,5718,d:dimmed/r:dimmer/p:dimmed/i:dimming/t:dimmest/3:dims
dime,n. 10分硬币(美、加),9,20081,s:dimes
dimension,n.尺寸，尺度；面积,3,3687,s:dimensions/d:dimensioned/i:dimensioning/p:dimensioned/3:dimensions
dimensional,a. ...维的\n[化] 量纲的; 因次的,9,4457,
dimensionality,"[计] 维数, 度数",0,26164,
diminish,v. 1. 减少，(使)减小，降低 2. 贬低，使降级，削弱,5,7633,d:diminished/3:diminishes/i:diminishing/p:diminished
diminished,a. 减退了的；减弱的,9,5579,0:diminish/1:dp/p:diminished/d:diminished
diminishing,v. 减少；衰减；递减；削弱…的权势（diminish的现在分词）,9,7905,0:diminish/1:i/i:diminishing
diminishment,缩减（diminish的变体）\n贬低（diminish的变体）,0,26165,
diminuendo,n. （音乐、演奏）渐弱,8,22179,s:diminuendos
diminution,n. 减少，缩减,8,12165,s:diminutions
diminutive,"a. 小的,小型的,指小的 n. 小的人,指小辞,指小词,爱称",7,12234,s:diminutives
dimly,"adv. 微暗, 朦胧",9,9767,
dimmer,n. 调光器\n[化] 衰减器,0,17471,0:dim/1:r/s:dimmers
dimness,"n. 微暗, 不清楚",0,18534,
dimple,n. 酒窝，笑靥,8,20946,s:dimples/i:dimpling/p:dimpled/d:dimpled/3:dimples
dimpled,"a. （脸上）带酒窝的, 有笑靥的",0,19558,0:dimple/1:pd/d:dimpled/p:dimpled
din,n. 喧闹声，嘈杂声,8,9068,d:dinned/p:dinned/s:dins/i:dinning/3:dins
dinar,n. 第纳尔(南斯拉夫、伊拉克的货币单位),0,15748,s:dinars
dine,v. 进正餐，用膳，宴请,3,10643,p:dined/i:dining/d:dined/3:dines
diner,n. 用餐者,9,15512,s:diners
dinette,n. 小吃饭间,0,26166,
ding,"vi. 响, 连响, 反复告诫\nvt. 反复告诉\nn. 钟声",0,12532,i:dinging/s:dings/p:dinged/3:dings/d:dinged
dinghy,"n. 小船, 橡皮筏, 小艇",0,8910,s:dinghies
dingy,"a. 暗黑的,邋遢的",7,13480,s:dingies/t:dingiest/r:dingier
dining,"n. 正餐, 宴会",9,2928,0:dine/i:dining/p:dined/d:dined/3:dines
dining-room,n. 餐厅,2,26167,s:dining-rooms
dinky,"a. 极小的, 不足道的, 整洁的",0,18535,s:dinkies
dinner,n.正餐，主餐；宴会,1,1375,s:dinners
dinnertime,n. 正餐时间,9,26168,s:dinnertimes
dinnerware,n. 整套餐具,0,26169,
dinosaur,n. 恐龙,3,9492,s:dinosaurs
dint,"n. 凹痕, 作用\nvt. 打击出凹痕",0,17174,p:dinted/d:dinted/i:dinting/s:dints/3:dints
diocesan,a. 主教管区的,8,9288,s:diocesans
diocese,n. 主教教区,9,6745,s:dioceses
diode,n. 二极管\n[化] 二极管,0,14705,s:diodes
diorama,"n. 透视画, 西洋景, 立体模型",0,23963,s:dioramas
dioxide,n. 二氧化物\n[医] 二氧化物,3,4001,s:dioxides
dioxin,n. [化]二噁英,9,15749,s:dioxins
dip,vt.浸，蘸 vi.浸一浸,2,5663,p:dipped/i:dipping/d:dipped/s:dips/3:dips
diphtheria,n. 白喉\n[医] 白喉,0,15810,
diploma,n. 毕业文凭，学位证书,3,5467,s:diplomas
diplomacy,"n. 外交, 外交手腕, 交际手段\n[法] 外交, 外交手腕, 权谋",9,6861,
diplomat,n. 外交家，外交官,5,8629,s:diplomats
diplomatic,"a. 外交的, 老练的\n[法] 外交的, 外交上的, 文献上的",6,3222,
diplomatically,"adv. 在外交上, 靠外交途径, 凭外交手腕",9,16713,
dipper,"n. 显影液槽, 浸礼会教友, 浸染工, 北斗七星\n[机] 杓",0,19559,s:dippers
dipping,[计] 浸渍\n[化] 浸渍; 浸泡,0,9304,0:dip/1:i/i:dipping
dipsomania,n. 嗜酒症,8,26170,
dire,a. 可怕的,8,7496,t:direst/r:direr
direct,a.直接的；直率的,2,736,d:directed/i:directing/p:directed/3:directs
directed,a. 定向的；经指导的；被控制的,9,2109,0:direct/1:dp/p:directed/d:directed
direction,n.方向，方位；指导,2,1015,s:directions
directional,a. 方向的,9,11129,
directive,"a. 指导的, 指挥的, 方向的 n. 指令",9,3480,s:directives
directly,ad.直接地；立即,4,1007,
directness,"n. 笔直, 率直",0,14204,
director,n.指导者；理事；导演,2,679,s:directors
directorate,"n. 理事之职务, 董事会, 理事会\n[经] 董事会",0,9375,s:directorates
directorial,"a. 指挥的, 管理的, 主管的",0,19961,
directorship,n. 管理者的职位,0,15932,s:directorships
directory,n. 1. 人名地址录，工商行名录，电话号码簿 2. 董事会 3. 指南,2,3744,s:directories
dirge,n. （葬礼）哀歌,8,20729,s:dirges
dirt,n.尘，土；污物，污垢,2,4901,
dirty,a.脏的；下流的,1,2616,t:dirtiest/r:dirtier/i:dirtying/p:dirtied/d:dirtied/3:dirties
disability,"n. 无力, 无能, 残疾\n[医] 劳动能力丧失, 病废",3,3843,s:disabilities
disable,vt.使无能，使伤残,4,18956,d:disabled/p:disabled/i:disabling/3:disables
disabled,"a. 残废的, 有缺陷的, 失效的\n[计] 失效的",3,2260,d:disabled/0:disabled/1:dp/p:disabled
disabling,[计] 禁止的,0,15329,0:disable/1:i/i:disabling
disabuse,v. 打消（某人的）错误念头；纠正,8,23302,d:disabused/p:disabused/i:disabusing/3:disabuses
disadvantage,n.不利(地位),3,4619,s:disadvantages/d:disadvantaged/i:disadvantaging/p:disadvantaged/3:disadvantages
disadvantaged,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的",9,6840,1:dp/0:disadvantage/d:disadvantaged
disaffect,v. 使不满；使不忠,8,26171,i:disaffecting/p:disaffected/3:disaffects/d:disaffected
disaffected,"a. 不满的, 不忠的, 疏远的",9,13523,1:pd/0:disaffect
